2011Zones,Public Transport Mean Indicator Minutes
Bonnyrigg North - 03,6.9
Bonnyrigg North - 04,5.8
Bonnyrigg North - 05,8.1
Bonnyrigg North - 06,6.8
Bonnyrigg North - 07,9
Bonnyrigg South - 01,14
Bonnyrigg South - 02,15
Bonnyrigg South - 03,12.9
Bonnyrigg South - 04,11.9
Bonnyrigg South - 05,9.1
Bonnyrigg South - 06,10.8
Bonnyrigg South - 07,9.4
Bonnyton and Town Centre - 01,4.6
Bonnyton and Town Centre - 02,3.9
Bonnyton and Town Centre - 03,5.6
Bonnyton and Town Centre - 04,8
Bonnyton and Town Centre - 05,7.2
Borestone - 01,9.9
Borestone - 02,7.2
Borestone - 03,10.1
Borestone - 04,11.8
Borestone - 05,17.2
Boswall and Pilton - 01,4.1
Boswall and Pilton - 02,8
Boswall and Pilton - 03,11.6
Boswall and Pilton - 04,11.1
Boswall and Pilton - 05,9.8
Boswall and Pilton - 06,8.6
Boswall and Pilton - 07,7.5
Bothwell North - 01,14.3
Bothwell North - 02,8.5
Bothwell North - 03,6.6
Bothwell North - 04,13.9
Bothwell South - 01,9.8
Bothwell South - 02,7
Bothwell South - 03,7.2
Bothwell South - 04,4.1
Bothwell South - 05,19.5
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 01",6.4
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 02",8.1
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 03",11.1
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 04",9.1
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 05",14.3
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 06",10
Bow of Fife Tarvit and Balgarvie,18.5
Bowden and Lindean Area,15.4
Bowhill and Dundonald,6.2
Bowhill East,6.5
Bowhill West,4.4
Bowling - 01,9.2
Bowling - 02,16.7
Bowling - 03,17
Bowling - 04,14.3
Bowling - 05,12.8
Bowling - 06,19.3
Braehead - 01,9.5
Braehead - 02,9.2
Braehead - 03,9.7
Braehead and the Path,6.7
Braes Villages - 01,7.2
Braes Villages - 02,5.6
Braes Villages - 03,10
Braes Villages - 04,18
Braes Villages - 05,6.3
Braes Villages - 06,13.5
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 01",7.7
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 02",5.3
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 03",3.8
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 04",6.1
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 05",8.4
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 06",8.8
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 07",10.8
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 08",10.5
"Braeside, Mannofield, Broomhill and Seafield East - 01",11.9
"Braeside, Mannofield, Broomhill and Seafield East - 02",10.5
"Braeside, Mannofield, Broomhill and Seafield East - 03",10.4
"Braeside, Mannofield, Broomhill and Seafield East - 04",8.6
"Braeside, Mannofield, Broomhill and Seafield East - 05",6.7
"Braeside, Mannofield, Broomhill and Seafield North - 01",10.7
"Braeside, Mannofield, Broomhill and Seafield North - 02",10.3
"Braeside, Mannofield, Broomhill and Seafield North - 03",6.1
"Braeside, Mannofield, Broomhill and Seafield North - 04",5.7
"Braeside, Mannofield, Broomhill and Seafield North - 05",5.5
"Braeside, Mannofield, Broomhill and Seafield South - 01",11.4
"Braeside, Mannofield, Broomhill and Seafield South - 02",14.2
"Braeside, Mannofield, Broomhill and Seafield South - 03",12.2
"Braeside, Mannofield, Broomhill and Seafield South - 04",12.5
"Braeside, Mannofield, Broomhill and Seafield South - 05",9.1
Braidfauld - 01,5.6
Braidfauld - 02,7.5
Braidfauld - 03,2.9
Braidfauld - 04,4.8
Braidfauld - 05,5.8
Braidfauld - 06,7.6
Braidfauld - 07,7.1
Braidfauld - 08,5.1
Brechin East - 01,8.4
Brechin East - 02,7.9
Brechin East - 03,7.1
Brechin East - 04,8
Brechin East - 05,5.5
Brechin West - 01,6.3
Brechin West - 02,8.2
Brechin West - 03,9.6
Brechin West - 04,12.9
Brechin West - 05,11.6
Breich Valley - 01,15.4
Breich Valley - 02,10.6
Breich Valley - 03,5.9
Breich Valley - 04,4.7
Breich Valley - 05,4.5
Breich Valley - 06,9.5
Bridge of Allan and University - 01,2.6
Bridge of Allan and University - 02,7.6
Bridge of Allan and University - 03,5.6
Bridge of Allan and University - 04,4
Bridge of Allan and University - 05,9.5
Bridge of Allan and University - 06,13.2
Bridge of Allan and University - 07,7.3
Bridge of Earn and Abernethy - 01,5.9
Bridge of Earn and Abernethy - 02,5.6
Bridge of Earn and Abernethy - 03,8.9
Bridge of Earn and Abernethy - 04,22.7
Bridge of Earn and Abernethy - 05,5.7
Bridge of Earn and Abernethy - 06,6.2
Bridge of Weir - 01,13.4
Bridge of Weir - 02,12.8
Bridge of Weir - 03,5.1
Bridge of Weir - 04,4.5
Bridge of Weir - 05,13.1
Bridge of Weir - 06,17.8
Bridge of Weir - 07,16
Bridgeton - 01,4.8
Bridgeton - 02,3
Bridgeton - 03,4.1
Bridgeton - 04,5.3
Brightons and Wallacestone - 01,16.9
Brightons and Wallacestone - 02,9
Brightons and Wallacestone - 03,6.9
Brightons and Wallacestone - 04,11.9
Brightons and Wallacestone - 05,9.8
Broadbay - 01,36.3
Broadbay - 02,25.4
Broadbay - 03,18.2
Broadbay - 04,14.1
Broom North,9.6
Broom South,9.3
Broomhead,11.4
Broomhill - 01,3.2
Broomhill - 02,9.5
Broomhill - 03,8.5
Broomhill - 04,6.5
Broomhill - 05,7.8
Broomhouse and Bankhead - 01,9.7
Broomhouse and Bankhead - 02,7
Broomhouse and Bankhead - 03,9.6
Broomhouse and Bankhead - 04,10.3
Broomhouse and Bankhead - 05,5.4
Broomridge - 01,14.3
Broomridge - 02,12.4
Broomridge - 03,10
Broomridge - 04,7.5
Broomridge - 05,6.5
Broomridge - 06,8.5
Broomridge - 07,2.4
Broughton and Upper Tweed,32.5
Broughton North and Powderhall - 01,8.8
Broughton North and Powderhall - 02,8.4
Broughton North and Powderhall - 03,6.5
Broughton North and Powderhall - 04,7.8
Broughton South - 01,7.6
Broughton South - 02,8.2
Broughton South - 03,10.2
Broughton South - 04,4.6
Broughton South - 05,6.7
Broughty Ferry East - 01,6.8
Broughty Ferry East - 02,11.9
Broughty Ferry East - 03,14.2
Broughty Ferry East - 04,11.7
Broughty Ferry East - 05,11.3
Broughty Ferry West - 01,10.4
Broughty Ferry West - 02,4.2
Broughty Ferry West - 03,3.5
Broughty Ferry West - 04,7.9
Broughty Ferry West - 05,7.2
Broughty Ferry West - 06,5.7
Broxburn East - 01,6.6
Broxburn East - 02,7.4
Broxburn East - 03,10.2
Broxburn East - 04,11.5
Broxburn Kirkhill - 01,3
Broxburn Kirkhill - 02,6.2
Broxburn Kirkhill - 03,8.7
Broxburn Kirkhill - 04,11.4
Broxburn Kirkhill - 05,8.8
Broxburn South - 01,10.7
Broxburn South - 02,10.7
Broxburn South - 03,7.8
Broxburn South - 04,11.9
Broxburn South - 05,9.1
Broxburn South - 06,7.7
Brucefield North,6.1
Brucefield South,4.5
Brucefield South West,4.4
Brucefield West,3.5
Bruntsfield - 01,5.4
Bruntsfield - 02,5.1
Bruntsfield - 03,4.3
Bruntsfield - 04,2.7
Bruntsfield - 05,4.4
Bruntsfield - 06,5.2
Bruntsfield - 07,3.7
Buckhaven Birds,5.3
Buckhaven Central,9.5
Buckhaven North,8.1
Buckhaven North West and Muiredge,7.4
Buckhaven South,11.7
Buckie Central East - 01,14.8
Buckie Central East - 02,13.4
Buckie Central East - 03,8.2
Buckie Central East - 04,7.8
Buckie Central East - 05,6.5
Buckie West and Mains of Buckie - 01,6.4
Buckie West and Mains of Buckie - 02,8.7
Buckie West and Mains of Buckie - 03,9.2
Buckie West and Mains of Buckie - 04,5.9
Buckie West and Mains of Buckie - 05,5.6
Bucksburn North - 01,11.2
Bucksburn North - 02,9.9
Bucksburn North - 03,6.1
Bucksburn North - 04,7.6
Bucksburn North - 05,10.5
Bucksburn North - 06,12.8
Bucksburn South - 01,5.9
Bucksburn South - 02,6.7
Bucksburn South - 03,4.7
Bucksburn South - 04,6.5
Bucksburn South - 05,6.9
"Burgh, Eastfield and Silverbank - 01",10.8
"Burgh, Eastfield and Silverbank - 02",7.7
"Burgh, Eastfield and Silverbank - 03",9
"Burgh, Eastfield and Silverbank - 04",9.6
"Burgh, Eastfield and Silverbank - 05",6.4
"Burgh, Eastfield and Silverbank - 06",7.3
"Burgh, Eastfield and Silverbank - 07",3.7
"Burgh, Eastfield and Silverbank - 08",4.9
"Burghead, Roseisle and Laich - 01",14.5
"Burghead, Roseisle and Laich - 02",4.7
"Burghead, Roseisle and Laich - 03",4.9
"Burghead, Roseisle and Laich - 04",9.3
"Burghead, Roseisle and Laich - 05",7.4
"Burghead, Roseisle and Laich - 06",2.7
Burghmuir and Oakbank - 01,15.2
Burghmuir and Oakbank - 02,14.7
Burghmuir and Oakbank - 03,10.2
Burghmuir and Oakbank - 04,9.3
Burghmuir and Oakbank - 05,11.4
Burnbank Central and Udston - 01,9.5
Burnbank Central and Udston - 02,7.3
Burnbank Central and Udston - 03,8.8
Burnbank Central and Udston - 04,7.4
Burnbank Central and Udston - 05,8.9
Burnbank Central and Udston - 06,3.5
Burnbank Central and Udston - 07,5
Burnbank North - 01,5.9
Burnbank North - 02,7.1
Burnbank North - 03,7.8
Burnbank North - 04,7.5
Burnbank North - 05,10
Burnbank North - 06,10.6
Burnbank North - 07,7.7
Burnbank South and Chantinghall - 01,10.9
Burnbank South and Chantinghall - 02,11.5
Burnbank South and Chantinghall - 03,5.1
Burnbank South and Chantinghall - 04,6.5
Burnbank South and Chantinghall - 05,3.1
Burnhill and Bankhead North - 01,6.4
Burnhill and Bankhead North - 02,6.6
Burnhill and Bankhead North - 03,7.3
Burnhill and Bankhead North - 04,6
Burnhill and Bankhead North - 05,7.5
Burnside and Springhall - 01,12.3
Burnside and Springhall - 02,14.1
Burnside and Springhall - 03,15.3
Burnside and Springhall - 04,12.4
Burnside and Springhall - 05,16.4
Burnside and Springhall - 06,8.7
Burnside and Springhall - 07,10.8
Burntisland Central,6
Burntisland Docks,8.9
Burntisland East,6.5
Burntisland East Toll,8.6
Burntisland Grange and Orrock,11.3
Burntisland Kirkton,10.3
Burntisland Links,4
Burntisland Meadowfield,7.5
Burntisland Nether Grange,8.1
Busby - 01,8.8
Busby - 02,6.3
Busby - 03,10.9
Busby - 04,10.2
Busby - 05,8.4
Bute - 01,15.2
Bute - 02,12.8
Bute - 03,14.7
Bute - 04,25.2
Cadham,8.4
Cadham South,7.7
Caird Park - 01,12.1
Caird Park - 02,13
Caird Park - 03,9.3
Caird Park - 04,7.8
Cairneyhill East,12.7
Cairneyhill North,14.7
Cairneyhill West,12.4
Cairnhill - 01,10.5
Cairnhill - 02,12.2
Cairnhill - 03,7.7
Cairnhill - 04,9.9
Cairnhill - 05,11.5
Cairnhill - 06,11.8
Cairnhill - 07,18.4
Cairnsmill,3.6
Caithness North East - 01,23.5
Caithness North East - 02,22.4
Caithness North East - 03,27.2
Caithness North East - 04,12.2
Caithness North East - 05,20.1
Caithness North West - 01,4.8
Caithness North West - 02,15.5
Caithness North West - 03,17.7
Caithness North West - 04,5.2
Caithness North West - 05,16
Caithness North West - 06,11.6
Caithness North West - 07,25.3
Caithness South - 01,12.2
Caithness South - 02,15.1
Caithness South - 03,6
Caithness South - 04,18.6
Calderbank and Brownsburn - 01,13.1
Calderbank and Brownsburn - 02,2.8
Calderbank and Brownsburn - 03,6.6
Calderbank and Brownsburn - 04,4.6
Caldercruix and Plains - 01,10.4
Caldercruix and Plains - 02,9.6
Caldercruix and Plains - 03,16.5
Caldercruix and Plains - 04,10.1
Caldercruix and Plains - 05,16.1
Caldercruix and Plains - 06,17.3
Caldercruix and Plains - 07,19.9
Caldercruix and Plains - 08,15.7
Calderwood Central - 01,11.3
Calderwood Central - 02,5.5
Calderwood Central - 03,5.9
Calderwood Central - 04,9.7
Calderwood Central - 05,9.7
Calderwood East - 01,13.2
Calderwood East - 02,11.8
Calderwood East - 03,12.1
Calderwood East - 04,10.8
Calderwood East - 05,15
Calderwood West and Nerston - 01,6.8
Calderwood West and Nerston - 02,4.8
Calderwood West and Nerston - 03,6.2
Calderwood West and Nerston - 04,11.9
Calderwood West and Nerston - 05,13.1
Callander and Trossachs - 01,4.7
Callander and Trossachs - 02,4.9
Callander and Trossachs - 03,20.7
Callander and Trossachs - 04,6.6
Callander and Trossachs - 05,11.2
Calside - 01,6.4
Calside - 02,6.7
Calside - 03,8.3
Calside - 04,9.5
Calton and Gallowgate - 01,4.7
Calton and Gallowgate - 02,6.6
Calton and Gallowgate - 03,8.2
Calton and Gallowgate - 04,6.2
Calton and Gallowgate - 05,9.5
Cambusbarron - 01,17.8
Cambusbarron - 02,14.2
Cambusbarron - 03,16.2
Cambusbarron - 04,16.4
Cambusbarron - 05,15.5
Cambusbarron - 06,15.1
Cambuslang Central - 01,10
Cambuslang Central - 02,9.4
Cambuslang Central - 03,3.3
Cambuslang Central - 04,3.9
Cambuslang Central - 05,5.1
Campbeltown - 01,13.9
Campbeltown - 02,9.3
Campbeltown - 03,12.3
Campbeltown - 04,5.1
Campbeltown - 05,5.5
Campbeltown - 06,4.8
Campbeltown - 07,8.1
Canongate,5.2
"Canongate, Southside and Dumbiedykes - 01",2.1
"Canongate, Southside and Dumbiedykes - 02",1.8
"Canongate, Southside and Dumbiedykes - 03",4.5
"Canongate, Southside and Dumbiedykes - 04",6
"Canongate, Southside and Dumbiedykes - 05",10.4
"Canongate, Southside and Dumbiedykes - 06",7.6
Canonmills and New Town North - 01,7.7
Canonmills and New Town North - 02,7
Canonmills and New Town North - 03,4.3
Canonmills and New Town North - 04,2.3
Capshard,11.2
Cardenden East,8.2
Cardenden West,12.4
Cardonald North - 01,6.1
Cardonald North - 02,6.6
Cardonald North - 03,5.2
Cardonald North - 04,8.3
Cardonald North - 05,4.3
Cardonald South and East - 01,5
Cardonald South and East - 02,6.8
Cardonald South and East - 03,8.4
Cardonald South and East - 04,6.1
Cardonald West and Central - 01,4.9
Cardonald West and Central - 02,7.2
Cardonald West and Central - 03,7.6
Cardonald West and Central - 04,5.9
Cardonald West and Central - 05,4.2
Cardonald West and Central - 06,6.8
Cardonald West and Central - 07,4.6
Cardowan and Millerston - 01,19
Cardowan and Millerston - 02,12.4
Cardowan and Millerston - 03,13.5
Cardowan and Millerston - 04,7
Cardowan and Millerston - 05,8.1
Cardrona,22.7
Carfin and Cleekhimin - 01,6.6
Carfin and Cleekhimin - 02,6.1
Carfin and Cleekhimin - 03,6.6
Carfin and Cleekhimin - 04,8
Carfin and Cleekhimin - 05,9
Carfin and Cleekhimin - 06,9.3
Carfin and Cleekhimin - 07,7.8
Carfin North - 01,7.5
Carfin North - 02,6.7
Carfin North - 03,8.4
Carfin North - 04,6.3
Carlops Romannobridge,14.4
Carluke East - 01,28.5
Carluke East - 02,13.7
Carluke East - 03,10.3
Carluke East - 04,8.7
Carluke East - 05,6.4
Carluke North - 01,7.5
Carluke North - 02,8.8
Carluke North - 03,9.2
Carluke North - 04,11.3
Carluke South - 01,12.3
Carluke South - 02,14.2
Carluke South - 03,9.8
Carluke South - 04,11
Carluke West - 01,15
Carluke West - 02,11.4
Carluke West - 03,13.2
Carluke West - 04,9.1
Carmondean and Eliburn North - 01,10
Carmondean and Eliburn North - 02,10
Carmondean and Eliburn North - 03,12.1
Carmondean and Eliburn North - 04,10.7
Carmondean and Eliburn North - 05,5.1
Carmondean and Eliburn North - 06,9.2
Carmondean and Eliburn North - 07,8.9
Carmondean and Eliburn North - 08,8.5
Carmunnock North - 01,5.6
Carmunnock North - 02,7.2
Carmunnock North - 03,9.4
Carmunnock North - 04,4.9
Carmunnock South - 01,14
Carmunnock South - 02,6
Carmunnock South - 03,11.1
Carmunnock South - 04,9.9
Carmyle and Mount Vernon South - 01,7.7
Carmyle and Mount Vernon South - 02,8.9
Carmyle and Mount Vernon South - 03,5.2
Carmyle and Mount Vernon South - 04,7.5
Carnegie Drive,7
Carnock,9.5
Carnoustie East - 01,19.7
Carnoustie East - 02,18.9
Carnoustie East - 03,18.7
Carnoustie East - 04,21.9
Carnoustie East - 05,23
Carnoustie East - 06,25
Carnoustie East - 07,22.4
Carnoustie West - 01,13.9
Carnoustie West - 02,17.8
Carnoustie West - 03,18.3
Carnoustie West - 04,15.5
Carnoustie West - 05,17.8
Carnoustie West - 06,18.5
Carnoustie West - 07,18.7
Carntyne - 01,4.3
Carntyne - 02,5.7
Carntyne - 03,4.1
Carntyne - 04,3.2
Carntyne West and Haghill - 01,6.8
Carntyne West and Haghill - 02,5.5
Carntyne West and Haghill - 03,3.9
Carntyne West and Haghill - 04,8.1
Carntyne West and Haghill - 05,6.5
Carntyne West and Haghill - 06,5.9
Carnwadric East - 01,8.2
Carnwadric East - 02,10.1
Carnwadric East - 03,10.4
Carnwadric East - 04,8.5
Carnwadric West - 01,9.7
Carnwadric West - 02,6
Carnwadric West - 03,11.8
Carnwadric West - 04,7.5
Carnwadric West - 05,4.2
Carrick Knowe - 01,8.5
Carrick Knowe - 02,13.4
Carrick Knowe - 03,12.4
Carrick Knowe - 04,9.2
Carrick North - 01,25.4
Carrick North - 02,15.1
Carrick North - 03,17.4
Carrick North - 04,13.9
Carrick North - 05,12.7
Carrick South - 01,10.1
Carrick South - 02,46.8
Carrick South - 03,23.3
Carrick South - 04,9.2
Carrick South - 05,24.7
Carrick South - 06,21.7
Carrick South - 07,18.3
Carrickstone - 01,8.6
Carrickstone - 02,14.6
Carrickstone - 03,10.1
Carrickstone - 04,9.4
Carrickstone - 05,9.1
Carrickstone - 06,12.1
Carron - 01,12.4
Carron - 02,9.6
Carron - 03,9.2
Carron - 04,11.6
Carronshore - 01,12.9
Carronshore - 02,12.2
Carronshore - 03,10.6
Carronshore - 04,10.6
Carse and Grangemouth Old Town - 01,7
Carse and Grangemouth Old Town - 02,15.5
Carse and Grangemouth Old Town - 03,17.9
Carse and Grangemouth Old Town - 04,16.1
Carse and Grangemouth Old Town - 05,15.3
Carse of Stirling - 01,3.6
Carse of Stirling - 02,10.9
Carse of Stirling - 03,12.7
Carse of Stirling - 04,32.1
Carse of Stirling - 05,28.6
Carse of Stirling - 06,19.9
"Carstairs, Carstairs Junction and Carnwath - 01",9.4
"Carstairs, Carstairs Junction and Carnwath - 02",14.3
"Carstairs, Carstairs Junction and Carnwath - 03",4
"Carstairs, Carstairs Junction and Carnwath - 04",7.2
"Carstairs, Carstairs Junction and Carnwath - 05",3.8
"Carstairs, Carstairs Junction and Carnwath - 06",11.1
Caskieberran East,12.9
Caskieberran West,11.6
Castle Douglas - 01,9.4
Castle Douglas - 02,9.2
Castle Douglas - 03,7.4
Castle Douglas - 04,8
Castle Douglas - 05,14.7
Castlehill and Kincaidston - 01,8.6
Castlehill and Kincaidston - 02,7
Castlehill and Kincaidston - 03,7
Castlehill and Kincaidston - 04,4.5
Castlehill and Kincaidston - 05,4.4
Castlehill and Kincaidston - 06,6.4
Castlehill and Kincaidston - 07,6.2
Castlemilk - 01,6.4
Castlemilk - 02,6.9
Castlemilk - 03,4.4
Castlemilk - 04,3.2
Castlemilk - 05,5.3
Castlemilk - 06,7.8
Castlemilk - 07,8.6
Cathcart - 01,4.9
Cathcart - 02,4.5
Cathcart - 03,6.2
Cathcart - 04,6
Cathcart - 05,5.6
Cathcart - 06,8.7
Causewayhead - 01,5.4
Causewayhead - 02,7.4
Causewayhead - 03,10
Central and South Inch - 01,7.7
Central and South Inch - 02,5.5
Central and South Inch - 03,4.6
Central and South Inch - 04,6.7
Central and South Inch - 05,4.1
Central and South Inch - 06,3.7
Central Easterhouse - 01,5.3
Central Easterhouse - 02,8.4
Central Easterhouse - 03,6.6
Central Shetland - 01,27
Central Shetland - 02,21.5
Central Shetland - 03,7.9
Central Shetland - 04,26.3
Ceres East and Pitscottie,24.3
Chapel,17.6
Chapel Moss,17.9
Chapelhall East - 01,20.3
Chapelhall East - 02,7.4
Chapelhall East - 03,21.6
Chapelhall East - 04,4.6
Chapelhall East - 05,6.5
Chapelhall West - 01,8.7
Chapelhall West - 02,7.2
Chapelhall West - 03,9.6
Chapelhill and Torbain,13.5
"Chapelton, Glengavel and Sandford - 01",17
"Chapelton, Glengavel and Sandford - 02",25.4
"Chapelton, Glengavel and Sandford - 03",13.6
"Chapelton, Glengavel and Sandford - 04",16.9
Chapelwood,15.6
Charleston - 01,11
Charleston - 02,11.1
Charleston - 03,11.9
Charleston - 04,9.4
Charleston - 05,9.6
Charlestown and Bellknowes,8
Chirnside - East,5.1
Chirnside - West,4.3
Chryston and Muirhead - 01,8.9
Chryston and Muirhead - 02,7.9
Chryston and Muirhead - 03,4
Chryston and Muirhead - 04,7.5
Chryston and Muirhead - 05,5.7
City Centre - 01,7.4
City Centre - 01,4
City Centre - 02,7.7
City Centre - 02,6
City Centre - 03,4.2
City Centre - 03,2.1
City Centre - 04,6
City Centre - 04,3.5
City Centre - 05,6.3
City Centre - 05,3.1
City Centre - 06,5
City Centre East - 01,6.5
City Centre East - 01,9
City Centre East - 02,5.3
City Centre East - 02,9.3
City Centre East - 03,7.7
City Centre East - 03,12.7
City Centre East - 04,5.2
City Centre East - 04,8.8
City Centre East - 05,9.4
City Centre East - 06,9.4
City Centre East - 07,6.5
City Centre South - 01,7.4
City Centre South - 02,6.6
City Centre South - 03,8.8
City Centre South - 04,5.5
City Centre West - 01,4.9
City Centre West - 01,8.1
City Centre West - 02,6.1
City Centre West - 02,5.4
City Centre West - 03,2.8
City Centre West - 03,7.1
City Centre West - 04,4.7
City Centre West - 04,7.5
City Centre West - 05,4.1
City Centre West - 05,11.7
City Centre West - 06,7.3
"Clackmannan, Kennet and Forestmill - 01",7.4
"Clackmannan, Kennet and Forestmill - 02",4.2
"Clackmannan, Kennet and Forestmill - 03",3.8
"Clackmannan, Kennet and Forestmill - 04",6.4
"Clackmannan, Kennet and Forestmill - 05",5.2
"Clackmannan, Kennet and Forestmill - 06",20.7
Clarkston and Sheddens - 01,9.6
Clarkston and Sheddens - 02,12.9
Clarkston and Sheddens - 03,9.1
Clarkston and Sheddens - 04,5
Clarkston and Sheddens - 05,8.1
Clarkston and Sheddens - 06,4.6
Clarkston and Sheddens - 07,3.7
Clarkston and Sheddens - 08,5.7
Clashindarroch - 01,13.9
Clashindarroch - 02,19.7
Clashindarroch - 03,25.9
Clashindarroch - 04,19.8
Clashindarroch - 05,15.3
Clashindarroch - 06,26
Clayton and Clatto,20.7
Cleland - 01,10
Cleland - 02,13.6
Cleland - 03,12.5
Cleland - 04,12.8
Cleland - 05,21.8
Clermiston and Drumbrae - 01,6.3
Clermiston and Drumbrae - 02,3.6
Clermiston and Drumbrae - 03,5.6
Clermiston and Drumbrae - 04,10.6
Clermiston and Drumbrae - 05,11.1
Clermiston and Drumbrae - 06,9.4
Clermiston and Drumbrae - 07,7.3
Cliftonville - 01,12.1
Cliftonville - 02,8.5
Cliftonville - 03,9
Cliftonville - 04,10.8
Clovenfords and Area,19.7
Clovenstone and Wester Hailes - 01,8.2
Clovenstone and Wester Hailes - 02,7.9
Clovenstone and Wester Hailes - 03,3.5
Clovenstone and Wester Hailes - 04,6.4
Clovenstone and Wester Hailes - 05,6.2
Clydebank - 01,5.4
Clydebank - 02,6.4
Clydebank - 03,11
Clydebank - 04,8.7
Clydebank - 05,7.5
Clydebank - 06,7.4
Clydebank East - 01,13.4
Clydebank East - 02,13.6
Clydebank East - 03,12.5
Clydebank East - 04,13.4
Clydebank East - 05,11.6
Clydebank East - 06,12
Clydebank North - 01,5.8
Clydebank North - 02,8.7
Clydebank North - 03,12
