2011Zones,Public Transport Mean Indicator Minutes
Blaeberry Hill and East Whitburn - 04,16.2
Blaeberry Hill and East Whitburn - 05,9.7
Blaeberry Hill and East Whitburn - 06,7.6
Blaeberry Hill and East Whitburn - 07,8.6
Blaeberry Hill and East Whitburn - 08,9.1
Blainslie and Legerwood,20.2
"Blair Atholl, Strathardle and Glenshee - 01",12.3
"Blair Atholl, Strathardle and Glenshee - 02",22.8
"Blair Atholl, Strathardle and Glenshee - 03",36.1
"Blair Atholl, Strathardle and Glenshee - 04",25.8
"Blair Atholl, Strathardle and Glenshee - 05",19
Blairdardie East - 01,9.5
Blairdardie East - 02,7.3
Blairdardie East - 03,6.6
Blairdardie East - 04,6.8
Blairdardie East - 05,5.2
Blairdardie East - 06,7.2
Blairdardie East - 07,7.4
Blairdardie West - 01,9.6
Blairdardie West - 02,7.5
Blairdardie West - 03,7.7
Blairgowrie East (Rattray) - 01,9.9
Blairgowrie East (Rattray) - 02,11.1
Blairgowrie East (Rattray) - 03,10.6
Blairgowrie East (Rattray) - 04,9.2
Blairgowrie West - 01,6.3
Blairgowrie West - 02,7.7
Blairgowrie West - 03,9.4
Blairgowrie West - 04,3.9
Blairgowrie West - 05,5.8
Blairgowrie West - 06,2.8
Blairgowrie West - 07,10.2
Blairhall and Landward,11.2
Blane Valley - 01,15.1
Blane Valley - 02,16.4
Blane Valley - 03,10.8
Blane Valley - 04,6.6
Blane Valley - 05,9.1
Blane Valley - 06,15.2
Blane Valley - 07,8.3
Blane Valley - 08,3.9
Blantyre South and Wheatlands - 01,9.3
Blantyre South and Wheatlands - 02,5.9
Blantyre South and Wheatlands - 03,10.7
Blantyre South and Wheatlands - 04,13.3
Blantyre South and Wheatlands - 05,12.7
Blantyre South and Wheatlands - 06,12.3
Blantytre North and Coatshill - 01,9.2
Blantytre North and Coatshill - 02,8.5
Blantytre North and Coatshill - 03,11
Blantytre North and Coatshill - 04,11.8
Boarhills and Kingsbarns,27.6
Bonaly and The Pentlands - 01,10.9
Bonaly and The Pentlands - 02,7.1
Bonaly and The Pentlands - 03,7.7
Bonaly and The Pentlands - 04,6.9
Bonaly and The Pentlands - 05,6.7
Bonaly and The Pentlands - 06,7
Bonchester Bridge and Chesters Area,32.9
Bo'ness - Douglas - 01,10
Bo'ness - Douglas - 02,17
Bo'ness - Douglas - 03,10.7
Bo'ness - Douglas - 04,6.6
Bo'ness - Douglas - 05,9.1
Bo'ness - Kinneil - 01,4.8
Bo'ness - Kinneil - 02,6.4
Bo'ness - Kinneil - 03,9.4
Bo'ness - Kinneil - 04,6.6
Bo'ness - Kinneil - 05,6.6
Bo'ness - Newtown - 01,7.1
Bo'ness - Newtown - 02,5.7
Bo'ness - Newtown - 03,7.4
Bo'ness - Newtown - 04,4.3
Bo'ness - Newtown - 05,5.9
Bonhill - 01,18.8
Bonhill - 02,14.2
Bonhill - 03,11.6
Bonhill - 04,11.7
Bonhill - 05,11.8
Bonhill - 06,12.6
Bonhill - 07,9
Bonhill - 08,12.1
Bonhill - 09,7.7
Bonnington - 01,6.1
Bonnington - 02,8.2
Bonnington - 03,5.5
Bonnington - 04,2.8
Bonnybank and Montrave,15.2
Bonnybridge - 01,6.7
Bonnybridge - 02,7.6
Bonnybridge - 03,4.4
Bonnybridge - 04,5.2
Bonnybridge - 05,6.8
Bonnybridge - 06,8.5
Bonnyrigg North - 01,7.8
Bonnyrigg North - 02,10.8
